gj000491	1109281.862	579999.314	-5.398
gj000492	1109279.729	579999.287	-5.468
gj000493	1109277.578	579999.219	-5.399
gj000494	1109275.423	579999.111	-5.381
gj000495	1109273.279	579998.981	-5.213
gj000496	1109271.128	579998.867	-5.295
gj000497	1109268.972	579998.746	-5.321
gj000498	1109266.801	579998.612	-5.388
gj000499	1109264.629	579998.488	-5.414
gj000500	1109262.456	579998.391	-5.424
gj000501	1109260.279	579998.307	-5.36
gj000502	1109258.09	579998.228	-5.333
gj000503	1109255.897	579998.161	-5.3
gj000504	1109253.701	579998.086	-5.241
gj000505	1109251.513	579997.984	-5.06
gj000506	1109249.33	579997.88	-5.236
gj000507	1109247.155	579997.776	-5.438
gj000508	1109244.983	579997.661	-5.542
gj000509	1109242.814	579997.539	-5.598
gj000510	1109240.65	579997.415	-5.664
gj000511	1109238.488	579997.302	-5.696
gj000512	1109236.336	579997.193	-5.743
gj000513	1109234.183	579997.088	-5.748
gj000514	1109232.034	579996.991	-5.854
gj000515	1109229.89	579996.911	-5.82
gj000516	1109227.743	579996.857	-5.84
gj000517	1109225.582	579996.788	-5.862
gj000518	1109223.424	579996.717	-5.88
gj000519	1109221.27	579996.67	-5.897
gj000520	1109219.114	579996.621	-5.918
gj000521	1109216.951	579996.58	-5.951
gj000522	1109214.789	579996.547	-6.01
gj000523	1109212.627	579996.53	-6.033
gj000524	1109210.458	579996.515	-6.078
gj000525	1109208.283	579996.51	-6.101
gj000526	1109206.101	579996.53	-6.124
gj000527	1109203.927	579996.586	-6.164
gj000528	1109201.752	579996.677	-6.159
gj000529	1109199.579	579996.805	-6.183
gj000530	1109197.389	579996.943	-6.198
gj000531	1109195.192	579997.082	-6.216
gj000532	1109192.991	579997.239	-6.266
gj000533	1109190.806	579997.426	-6.289
gj000534	1109188.637	579997.665	-6.279
gj000535	1109186.508	579997.99	-6.301
gj000536	1109184.291	579998.382	-6.335
gj000537	1109182.266	579998.699	-6.365
gj000538	1109180.193	579998.893	-6.376
gj000539	1109178.138	579998.862	-6.407
gj000540	1109175.818	579998.405	-6.417
gj000541	1109173.816	579997.542	-6.492
gj000542	1109171.992	579996.146	-6.575
gj000543	1109170.711	579994.459	-6.603
gj000544	1109169.92	579992.585	-6.646
gj000545	1109169.601	579990.61	-6.607
gj000546	1109169.727	579988.613	-6.593
gj000547	1109170.258	579986.661	-6.581
gj000548	1109171.179	579984.807	-6.54
gj000549	1109172.447	579983.109	-6.505
gj000550	1109174.023	579981.619	-6.528
gj000551	1109175.852	579980.384	-6.442
gj000552	1109177.888	579979.442	-6.402
gj000553	1109180.065	579978.833	-6.379
gj000554	1109182.338	579978.546	-6.39
gj000555	1109184.676	579978.589	-6.432
gj000556	1109186.758	579978.876	-6.424
gj000557	1109188.965	579979.428	-6.463
gj000558	1109190.898	579980.101	-6.503
gj000559	1109192.928	579980.919	-6.497
gj000560	1109195.025	579981.838	-6.443
gj000561	1109197.203	579982.807	-6.399
gj000562	1109199.431	579983.711	-6.378
gj000563	1109201.663	579984.495	-6.384
gj000564	1109203.934	579985.208	-6.369
gj000565	1109206.212	579985.84	-6.316
gj000566	1109208.487	579986.451	-6.283
gj000567	1109210.774	579987.02	-6.255
gj000568	1109213.061	579987.565	-6.21
gj000569	1109215.353	579988.073	-6.153
gj000570	1109217.649	579988.564	-6.166
gj000571	1109219.932	579988.982	-6.071
gj000572	1109222.193	579989.335	-6.072
gj000573	1109224.467	579989.633	-6.02
gj000574	1109226.747	579989.887	-5.998
gj000575	1109229.045	579990.139	-6.006
gj000576	1109231.355	579990.387	-5.903
gj000577	1109233.668	579990.595	-5.873
gj000578	1109235.979	579990.808	-5.851
gj000579	1109238.293	579990.967	-5.83
gj000580	1109240.61	579991.108	-5.714
gj000581	1109242.944	579991.245	-5.638
gj000582	1109245.293	579991.402	-5.5
gj000583	1109247.64	579991.58	-5.431
gj000584	1109249.993	579991.731	-5.435
gj000585	1109252.342	579991.882	-5.406
gj000586	1109254.686	579992.027	-5.574
gj000587	1109257.036	579992.158	-5.594
gj000588	1109259.389	579992.294	-5.523
gj000589	1109261.746	579992.432	-5.578
gj000590	1109264.104	579992.569	-5.605
gj000591	1109266.461	579992.692	-5.473
gj000592	1109268.824	579992.806	-5.375
